"X","Y"
737.2549,878.4314
779.0850,930.7190
818.3007,943.7909
852.2876,954.2484
841.8301,1003.9215
789.5425,983.0065
758.1699,951.6340
708.4967,962.0915
742.4837,993.4641
640.5229,1037.9086
656.2092,1003.9215
690.1961,1087.5816
943.7909,1061.4378
904.5752,1037.9086
865.3595,1035.2941
747.7124,1270.5883
828.7582,1249.6731
860.1307,1207.8431
925.4902,1200.0000
975.1634,1223.5293
993.4641,1186.9280
967.3203,1158.1700
917.6471,1129.4117
873.2026,1155.5555
849.6732,1108.4967
779.0850,1116.3399
768.6275,1045.7516
1652.2875,1367.3203
1696.7320,1364.7059
1730.7189,1411.7646
1746.4051,1487.5817
1756.8626,1443.1372
1704.5751,1505.8824
1678.4313,1453.5947
1707.1896,1422.2221
1636.6013,1542.4837
1675.8170,1558.1700
1686.2745,1597.3856
1730.7189,1589.5425
1566.0131,1495.4247
1552.9412,1450.9804
1615.6863,1430.0654
1631.3726,1487.5817
1652.2875,1430.0654
1623.5294,1401.3071
1511.1111,1474.5097
1626.1438,1356.8628
1696.7320,1325.4902
1738.5621,1362.0915
1772.5489,1393.4641
1798.6927,1443.1372
820.9150,1299.3464
860.1307,1615.6863
831.3726,1652.2876
664.0523,1150.3267
779.0850,1244.4444
766.0131,1173.8563
